HTTrack3.49-2+htsswf+htsjava launched on Thu, 11 Apr 2019 18:17:22 at http://www.ubmc.co.uk/ftr/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" http://www.ubmc.co.uk/ftr/ -O1 "C:\Users\Tom\Documents\uni\first year\ubmc\ftr-backup\HTTrack\UBMC 5" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

19:10:57	Error: 	"Forbidden" (403) at link images.arcteryx.com/F08/600W/Rho-LTW-Zip-W-Merlot.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1133)
19:10:58	Error: 	"Not Found" (404) at link www.birminghamb29.com/images/sellyoakroad.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1073)
19:11:01	Warning: 	Retry after error -4 (Connect Error) at link www.upol.info/portal/images/comprofiler/plug_profilegallery/208/pg_2127749970.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=250)
19:11:23	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/303444_10152792456560422_1997118067_n.jpg?oh=2b3e3a86e7d737d3ca572095156d960d&oe=54AA379E&__gda__=1425144465_cb2a1a5633061671899e25f864577fa7 (from www.ubmc.co.uk/ftr/viewtopic.php?t=3580)
19:11:23	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-ash3/v/t1.0-9/535159_10100142510521805_861944160_n.jpg?oh=2b923928320def728baf3c6291e7fee2&oe=54F34242&__gda__=1420488323_c597e95f810952329f425f66ccf12d52 (from www.ubmc.co.uk/ftr/viewtopic.php?t=3580)
19:11:23	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/s720x720/9834_10151903233735036_433799243_n.jpg?oh=f32353123acb6bfd9f5c9b00a74fe7c7&oe=54DBC895&__gda__=1425211112_84f09dd9277756629299d7e3557ae1a9 (from www.ubmc.co.uk/ftr/viewtopic.php?t=3580)
19:11:25	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-prn2/1465346_578738358864198_1470192558_n.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=3319&start=60)
19:11:27	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-prn2/v/t34.0-12/10156983_10152325396382350_1799656094_n.jpg?oh=34c31a3192a1b22d1f4885fd511935cc&oe=5345EDA2&__gda__=1397089542_4e3a93455734608dd4db111d550b95ef (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=3543)
19:11:27	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=1362&start=0 (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=1362&start=15)
19:12:05	Error: 	"Not Found" (404) at link img52.imageshack.us/img52/9162/climbingpolarbear.png (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1861)
19:12:35	Error: 	"Not Found" (404) at link img69.imageshack.us/img69/8176/pembroke.th.png (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1854&start=15)
19:12:35	Error: 	"Forbidden" (403) at link www.climbandmore.com/foto/MoffattOk.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1854&start=30)
19:13:04	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1776&view=next (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1776)
19:13:05	Error: 	"Not Found" (404) at link www.rockarchivist.co.uk/papers.php?PageRef=NRB/StoneyMiddletonNRB/1982/StoneyNRB1982-048.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1770)
19:13:08	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1244&view=previous (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1244)
19:13:12	Error: 	"Not Found" (404) at link www.chetwynd.info/images/crags/cornwall/bosigran-composite.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1361)
19:13:13	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1333&view=next (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1333)
19:13:14	Error: 	"Connect Error" (-4) after 2 retries at link www.upol.info/portal/images/comprofiler/plug_profilegallery/208/pg_2127749970.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=250)
19:13:17	Error: 	"File Not Found" (404) at link www.e-outdoor.co.uk/images/Black-Diamond-Momentum.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1694)
19:13:17	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1695&view=next (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=1695)

HTTrack Website Copier/3.49-2 mirror complete in 56 minutes 1 seconds : 8706 links scanned, 8598 files written (233367845 bytes overall) [63532026 bytes received at 18902 bytes/sec], 228194814 bytes transferred using HTTP compression in 8341 files, ratio 23%, 23.4 requests per connection
(54 errors, 53 warnings, 0 messages)
