date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:29:03	13734/13734	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:29:04%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3325&view=previous	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopic6e8d.html	(from http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3325)
14:29:03	20959/20959	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:29:04%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3512&view=next	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopic8664.html	(from http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3512)
14:29:04	39067/39067	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:29:04%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3512&view=previous	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopic4768.html	(from http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3512)
14:29:04	26002/26002	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:29:05%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3325&view=next	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopic2e84.html	(from http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3325)
14:29:05	25666/25666	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:29:06%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3322&view=previous	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopica028.html	(from http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3322)
14:29:05	48608/48608	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:29:06%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?t=1964	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopicb084.html	(from http://www.ubmc.co.uk/ftr/memberlist.php?mode=viewprofile&u=2621)
14:29:05	39067/39067	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:29:06%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3322&view=next	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopic01a8.html	(from http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3322)
14:29:06	13734/13734	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:29:07%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3294&view=next	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopic5c79.html	(from http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3294)
14:29:06	48184/48184	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:29:06%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3294&view=previous	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopice799.html	(from http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3294)
14:29:07	25666/25666	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:29:07%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3204&view=next	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopic8a68.html	(from http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3204)
